年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
R01,構造,17,,鉄骨構造の接合部に関する次の記述のうち、最も不適当なものはどれか。,梁フランジを通しダイアフラムに突合せ溶接する場合、梁フランジは、通しダイアフラムを構成する鋼板の厚みの内部で溶接しなければならない。,強度の異なる鋼材を突合せ溶接する場合、強度の高いほうの鋼材に対応した溶接材料、溶接条件とすることにより、溶接部の許容応力度は、強度の高いほうの鋼材と同じ許容応力度とすることができる。,高力ボルト摩擦接合において、肌すきが1mm以内であれば、フィラープレートを挿入せず、そのまま高力ボルトを締め付けてもよい。,高力ボルトの最小縁端距離は、一般に、「手動ガス切断縁の場合」より「自動ガス切断縁の場合」のほうが小さい値である。,2
R01,構造,18,,柱材に板厚6mm以上の建築構造用冷間ロール成形角形鋼管(BCR)を用い、通しダイアフラム形式とした建築物の耐震計算に関する次の記述のうち、最も不適当なものはどれか。,「ルート1-1」において、標準せん断力係数Coを0.2として地震力の算定を行った。,「ルート1-2」において、標準せん断力係数Coを0.3として地震力の算定を行い、柱に生じる力を割増したので、層間変形角及び剛性率の検討を省略した。,「ルート2」において、最上階の柱頭部及び1階の柱脚部を除く全ての接合部については、柱の曲げ耐力の和が、柱に取り付く梁の曲げ耐力の和の1.5倍以上となるように設計した。,「ルート3」において、局部崩壊メカニズムとなったので、柱の耐力を低減して算定した保有水平耐力が、必要保有水平耐力以上であることを確認した。,1
R01,構造,19,,土質及び地盤に関する次の記述のうち、最も不適当なものはどれか。,液状化の判定を行う必要がある土層は、一般に、地表面から20m程度以浅の沖積層の飽和砂質土層である。,地下水には自由水、被圧水及び宙水があり、地下工事中に発生することがある根切り底面の盤ぶくれは、被圧水が原因である。,一軸圧縮試験は、粘性土の強度や変形係数を調べる簡便な方法で、実用性も高い。,砂質土地盤の支持力式に用いる内部摩擦角φは、砂質土が密実になるほど小さくなる。,4
R01,構造,20,図あり,図のような杭基礎の設計に関する次の記述のうち、最も不適当なものはどれか。,上部地盤が砂質土で地震時に液状化するおそれがある場合、各杭の水平抵抗力が低下しないよう地盤改良等の対策を行う。,上部地盤が粘性土で将来にわたって地盤沈下するおそれがある場合、各杭が地盤から突出する影響を考慮して杭の水平抵抗の検討を行う。,各杭の径が同じ場合、地震時に各杭が負担する水平力は杭長に応じて異なるものとして、杭の設計を行う。,各杭の長さが異なるので、地震時の杭の水平抵抗の検討のために、支持層の近傍で孔内水平載荷試験を行う。,4
R01,構造,21,,直接基礎及び杭基礎の設計に関する次の記述のうち、最も不適当なものはどれか。,直接基礎の即時沈下の計算において、粘性土地盤及び砂質土地盤ともにヤング率及びポアソン比を適切に設定した弾性体と仮定してもよい。,杭の引抜き抵抗力の計算において、長期及び短期ともに杭の有効自重(自重から浮力を減じた値)を引抜き抵抗力として考慮することができる。,杭基礎を有する建築物において、杭に作用する水平力は、建築物の地上部分の高さ及び基礎スラブの根入れ深さに応じて、一定の範囲で低減することができる。,杭の水平抵抗の検討に用いる水平方向地盤反力係数K(kN/m?)は、一様な地盤においては杭径が大きくなるほど大きくなる。,4
R01,構造,22,,プレストレストコンクリート構造の設計に関する次の記述のうち、最も不適当なものはどれか。,プレキャスト部材を継ぎ合わせて、プレストレスにより圧着接合する場合、圧着部の継目に生じるせん断力は、摩擦抵抗機構のみで伝達するように設計する。,ポストテンション材の緊張材定着部では、コンクリートの支圧破壊を避けるために、耐圧板とコンクリート端面との接触面積が広くなるように設計する。,ポストテンション方式によるプレストレストコンクリート構造の床版において、防錆材により被覆された緊張材を使用する場合、緊張材が配置されたシース内にグラウト材を注入しなくてもよい。,プレストレストコンクリート部材に導入されたプレストレス力は、緊張材のリラクセーション等により、時間の経過とともに増大する。,4
R01,構造,23,,各種建築構造に関する次の記述のうち、最も不適当なものはどれか。,H形断面の鉄骨梁と鉄筋コンクリートスラブを頭付きスタッドを介して緊結した合成梁では、一般に、上下フランジのいずれも、局部座屈の検討を省略することができる。,H形断面の鉄骨梁と鉄筋コンクリートスラブを接合する頭付きスタッドの設計に用いる水平せん断力は、曲げ終局時に合成梁の各断面に作用する圧縮力及び引張力の関係から計算できる。,地震時の軸力変動により引張力が生じる鉄骨鉄筋コンクリート造の最下階の鉄骨柱脚は、原則として、埋込み形式とする。,鉄骨鉄筋コンクリート造の柱のせん断終局耐力は、鉄骨部分と鉄筋コンクリート部分において、それぞれの「曲げで決まる耐力」と「せん断で決まる耐力」のいずれか小さいほうの耐力を求め、それらの耐力の和とすることができる。,1
R01,構造,24,,免震構造に関する次の記述のうち、最も不適当なものはどれか。,免震構造は、一般に、上部構造の水平剛性が大きくなると、上部構造の床応答加速度も大きくなる。,免震構造は、一般に、上部構造の質量及び剛性の偏在等によるねじれ変形が抑制される。,免震構造に用いられる粘性ダンパーは、速度に応じた減衰力を発揮し、免震層の過大な変形を抑制する働きがある。,免震構造に用いられる積層ゴムアイソレーターの水平剛性は、面圧(支持軸力を積層ゴムの水平断面積で除した値)の大きさによって変化する。,1
R01,構造,25,,制振構造に関する次の記述のうち、最も不適当なものはどれか。,制振構造に設置するダンパーは、建築物全体の耐力分布や振動性状を踏まえて、適切に配置する。,制振構造に用いられるオイルダンパーは、建築物の動きが比較的小さな段階から制振効果を発揮する。,制振構造に用いられる履歴型ダンパーの耐力は、地震後の建築物の残留変形を抑制するために、柱と梁からなる主架構の耐力よりも大きくする。,鋼材や鉛等の金属製の履歴型ダンパーは、金属が塑性化する際のエネルギー吸収能力を利用するものであり、安定した復元力特性と十分な疲労強度が必要である。,3
R01,構造,26,,建築物の耐震設計に関する次の記述のうち、最も不適当なものはどれか。,純ラーメン構造の場合、地震時の柱の軸方向力の変動は、一般に、中柱より外柱のほうが大きい。,鉄筋コンクリート造の腰壁付き梁の剛性は、腰壁と柱との間に完全スリットを設けた場合であっても、腰壁の影響を考慮する必要がある。,構造特性係数Dsは、一般に、架構が靱性に富むほど小さくすることができる。,連層の耐力壁に接続する梁(境界梁)の曲げ耐力及びせん断耐力を大きくすると、一般に、地震力に対する耐力壁の負担せん断力が小さくなる。,4
R01,構造,27,,木材に関する次の記述のうち、最も不適当なものはどれか。,木表は、一般に、木裏に比べて乾燥収縮率が大きいので、木表側に凹に反る性質がある。,木材の強度は、一般に、同じ乾燥状態であれば密度が大きいものほど高い。,含水率が繊維飽和点以下の木材の乾燥収縮率は、一般に、「年輪の接線方向」より「年輪の半径方向」のほうが大きい。,構造用材料の弾性係数は、一般に、気乾状態から含水率が繊維飽和点に達するまでは、含水率が大きくなるにしたがって小さくなる。,3
R01,構造,28,,コンクリートの一般的な性質に関する次の記述のうち、最も不適当なものはどれか。,コンクリートの圧縮強度は、水セメント比が小さいほど高い。,コンクリートの中性化速度は、水セメント比が小さいほど速い。,コンクリートのヤング係数は、コンクリートの圧縮強度が高いほど大きい。,水和熱によるコンクリートのひび割れは、単位セメント量が少ないコンクリートほど発生しにくい。,2
R01,構造,29,,鋼材に関する次の記述のうち、最も不適当なものはどれか。,建築構造用圧延鋼材(SN材)は、板厚が40mmを超えても、40mm以下の材と同じ基準強度が保証されている。,建築構造用圧延鋼材(SN材)C種は、B種の規定に加えて板厚方向の絞り値の下限が定められており、溶接加工時を含め板厚方向に大きな引張力が作用する角形鋼管柱の通しダイアフラム等に用いられている。,板厚が一定以上の建築構造用冷間ロール成形角形鋼管BCR295については、降伏比の上限値が定められている。,建築構造用ステンレス鋼材SUS304Aは、降伏点が明確ではないので、0.1%オフセット耐力をもとに基準強度が定められている。,1
R01,構造,30,,建築物の構造計画及び構造設計に関する次の記述のうち、最も不適当なものはどれか。,建築物の機能性、安全性、耐久性等の設計グレードを高く設定して、高品質を求めるのは必ずしもよい設計とはいえない。,建築物に作用する荷重及び外力には性質が異なるいろいろな種類があり、取扱いが難しいので、法規及び基規準は、荷重及び外力の数値を扱いやすいように便宜的に提示している。,建築物の高さ方向の剛性や耐力の分布が不連続になる場合には、剛性率に基づき安易に保有水平耐力を割り増すのではなく、地震時の振動性状や崩壊過程を十分に考慮して計画を進める必要がある。,構造物のモデル化において、実構造物により近い複雑な解析モデルを採用することは、計算精度が向上するので、解析結果の検証を省略できるという利点がある。,4
R01,施工,1,,民間工事における一般的な施工計画に関する次の記述のうち、最も不適当なものはどれか。,工種別の施工計画書は、どの工事においても共通的に利用できるように作成されたものではなく、対象となる個別の工事の条件や特徴等を踏まえて具体的に検討したうえで作成されたものであり、監理者は工種別の施工計画書の提出を受ける。,施工計画書の一部である品質計画は、工事において使用予定の材料、仕上げの程度、性能、精度等の施工の目標、品質管理及び管理の体制について具体的に記載したものであり、当該工事に相応して妥当である場合は、監理者は品質計画を承認する必要がある。,工事の総合的な計画をまとめて作成する総合施工計画書は、総合仮設を含めた工事の全般的な進め方や、主要工事の施工方法、品質目標と管理方針等の大要を定めたものであり、監理者は総合施工計画書の提出を受ける。,工事請負契約書の規定に基づく施工条件の変更等により、実施工程表を変更する必要が生じた場合は、施工に支障がないように、監理者は変更部分の工事と並行して変更された実施工程表を承認する必要がある。,4
R01,施工,2,,工事現場の管理に関する次の記述のうち、最も不適当なものはどれか。,高さが5mの鉄筋コンクリート造の既存建築物の解体作業において、「コンクリート造の工作物の解体等作業主任者」を選任した。,既存建築物の解体工事において、石綿を重量で0.1%を超えて含有する建材を除去するに当たり、「石綿作業主任者」を選任した。,山留めの高さが5mである山留め支保工の切ばりの取付けにおいて、「地山の掘削作業主任者」を選任した。,高さが5mの枠組足場の解体作業において、「足場の組立て等作業主任者」を選任した。,3
R01,施工,3,,材料管理及び品質管理に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,工事現場に搬入した材料の検査において、立会い検査に合格した材料と同じ種別の材料については、以後の検査を、必要な証明書類により確認することとし、状況に応じて、抽出による立会い検査とした。,設計図書においてJIS又はJASによると指定された材料で、かつ、JIS又はJASのマーク表示があるものが使用されていたので、設計図書に定める品質及び性能を有することの証明となる書類等の確認を省略した。,鉄筋工事に用いる鉄筋については、有害な曲がりや損傷のあるものは使用せず、設計図書に従い、寸法及び形状に合わせて常温で加工し、組立てを行っていることを確認した。,セメントミルク工法による既製コンクリート杭工事において、「アースオーガーの掘削深さ」、「アースオーガーの駆動用電動機の電流値又は積分電流値」等から行う支持地盤の確認については、施工する本杭のうち、工事施工者が過半の杭について行っていることを確認した。,4
R01,施工,4,,建築工事等の届出等に関する組合せとして、最も不適当なものは、次のうちどれか。,大気汚染防止法に基づく「特定粉じん排出等作業実施届出書」 - 特定工事の発注者 - 作業開始の日の14日前まで - 労働基準監督署長,労働安全衛生法に基づく「共同企業体代表者届」 - 事業者 - 工事開始の日の14日前まで - 都道府県労働局長,建築基準法に基づく「建築工事届」 - 建築主 - 確認申請時又は計画通知時 - 都道府県知事,建築士法に基づく「工事監理報告書」 - 建築士 - 工事監理終了後、直ちに - 建築主,1
R01,施工,5,,地盤調査等に関する次の記述のうち、最も不適当なものはどれか。,事前に地層構成が想定できない地盤のボーリング調査において、地震応答解析の必要がない直接基礎の建築物であったので、その調査深さを建築物の幅の2倍とした。,ボーリング孔を利用した弾性波速度検層(PS検層)により、地盤内を伝搬する弾性波(P波・S波)の速度を測定し、その速度値から地盤の硬軟を判定した。,ボーリング調査において、ボーリング孔内に地下水が認められたので、孔内をなるべく長時間放置し、水位が安定してから地下水位を測定した。,粘性土地盤において、ボーリング調査の標準貫入試験の結果から得られたN値により、内部摩擦角や相対密度を推定した。,4
R01,施工,6,,土工事及び山留め工事に関する次の記述のうち、最も不適当なものはどれか。,ソイルセメント壁の心材としての形鋼に新品材を用いたので、心材の許容応力度については、短期許容応力度の値を採用した。,総掘りにおける根切り底において、地盤の状態については土質試料等を参考に目視により確認し、レベルチェックについては4mごとに1点を目安として行った。,埋戻しに当たり、埋戻し土が透水性の悪い山砂であったので、ローラー及びランマーによりまき出し厚さ50cmごとに締め固めた。,地下水処理におけるディープウェルの運転の停止については、「地下水の上昇による構造体の浮上りがないこと」、「地下外壁が自然地下水位よりも高く構築されていること」等を確認したうえで行った。,3
R01,施工,7,,地業工事に関する次の記述のうち、最も不適当なものはどれか。,液状化のおそれのある地盤の地盤改良工事については、地盤内に締め固められた砂杭が形成されるサンドコンパクションパイル工法を採用した。,場所打ちコンクリート杭工事の鉄筋籠の組立てにおいて、補強リングについては、主筋に断面欠損を生じないように注意して、堅固に溶接した。,セメントミルク工法による既製コンクリート杭工事において、建込み後の杭については、保持治具を用いて杭心に合わせて保持し、3日間養生を行った。,プレストレストコンクリート杭工事の杭頭処理において、ダイヤモンドカッター方式で杭頭を切断するに当たり、補強する範囲を当該切断面から350mm程度とした。,3
R01,施工,8,図あり,図中のア?エについて、鉄筋工事における柱主筋、大梁主筋等の一般的な継手位置(範囲)として、最も不適当なものは、次のうちどれか。ただし、鉄筋の継手は、ガス圧接継手とする。,ア,イ,ウ,エ,3
R01,施工,9,,型枠工事に関する次の記述のうち、最も不適当なものはどれか。,型枠支保工の構造計算における水平荷重については、支柱に鋼管枠を使用するに当たり、支保工の上端に設計荷重(鉛直荷重)の2.5/100に相当する値が作用することとした。,コンクリート打放し仕上げに使用するせき板に、「合板の日本農林規格」第5条「コンクリート型枠用合板の規格」による表面加工品を使用するに当たり、特記がなかったので、厚さが9mmのものを使用した。,計画供用期間の級が「標準」の建築物において、せき板の取外し後に湿潤養生をしない計画となっていたので、構造体コンクリートの圧縮強度が10N/mm?以上に達するまで、せき板を存置した。,片持ちスラブを除くスラブ下の型枠支保工の取外しについては、コンクリートの圧縮強度によることとしたので、圧縮強度が12N/mm?以上であること、かつ、施工中の荷重及び外力について、構造計算により安全であることを確認したうえで行った。,2
R01,施工,10,,コンクリート工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,単位水量が180kg/m?と指定されたコンクリートにおいて、打込み中に品質変化が見られたので、単位水量が180kg/m?以下であることを、レディーミクストコンクリート工場の製造管理記録により確認した。,特記のないコンクリートの打継ぎにおいて、やむを得ず、梁に鉛直打継ぎ部を設けなければならなかったので、スパンの中央又は端から1/4の付近に打継ぎ部が設けられていることを確認した。,普通コンクリートにおける構造体コンクリートの強度の検査において、1回の圧縮強度の試験に用いる供試体については、レディーミクストコンクリートの受入れ検査と併用しないこととなっていたので、工事現場において適切な間隔をあけた3台の運搬車から各1個ずつ、合計3個採取されていることを確認した。,同一区画のコンクリート打込み時における打重ね時間の限度については、外気温が25℃を超えていたので、150分を目安としていることを確認した。,4
R01,施工,11,,図に示すコンクリート工事におけるフレッシュコンクリートの現場受入れ時の品質検査に関する次の記述のうち、最も不適当なものはどれか。ただし、設計図書において、コンクリートは普通コンクリートとし、調合管理強度は27N/mm?、スランプは18cmと指定されているものとする。また、「寒中コンクリート」には該当しないものとする。,スランプ試験の結果は、合格であると判断した。,空気量試験の結果は、合格であると判断した。,コンクリートの温度測定試験の結果は、合格であると判断した。,コンクリートの塩化物含有量試験の結果は、合格であると判断した。,2
R01,施工,12,,プレキャスト鉄筋コンクリート工事に関する次の記述のうち、最も不適当なものはどれか。,プレキャスト部材の組立精度の検査においては、特記がなかったので、柱・壁の垂直部材と梁・床の水平部材とも、組立て作業中の仮固定完了後、次のプレキャスト部材が組み立てられる前に、全数について、それぞれ±5mmを判定基準として行った。,工事現場において、バルコニー付きの床のプレキャスト部材を平置きで仮置きするので、ひび割れや変形等が生じないように、台木の位置を、組立て後にプレキャスト部材が支持される位置からできるだけ離した。,プレキャスト部材の製造工場における製品検査において、外壁のプレキャスト部材の屋外に面する部分に、幅0.10mm以下のひび割れがあったが、外壁の性能上支障がないと判断し、プレキャスト部材製造要領書に従って、初期補修用プレミックスポリマーセメントペーストによる補修を行ったうえで合格とした。,プレキャスト部材の製造に当たり、脱型時に表面温度が高いプレキャスト部材においては、表面部の温度が外気温と同程度となるまで水密シートによる養生を行った。,2
R01,施工,13,,鉄骨工事に関する次の記述のうち、最も不適当なものはどれか。,溶接部の清掃において、母材の溶接面について付着物の確認を行ったところ、固着したミルスケールがあったが、溶接に支障とならなかったので、除去しなかった。,工事現場において、H形鋼の梁と柱との接合に当たり、梁ウェブを高力ボルト接合とし梁フランジを溶接接合とする混用継手で、梁せいや梁フランジ厚が大きくなく、溶接部に割れ等の欠陥が生じるおそれがないと判断し、高力ボルトを締め付けた後に溶接を行った。,溶融亜鉛めっきを施した鉄骨の接合部の摩擦面については、すべり係数が0.40以上確保することができるように、特記がなかったので、りん酸塩処理を行った。,鉄骨の製作精度の管理において、特記がなかったので、鉄骨精度検査基準((一社)日本建築学会「建築工事標準仕様書 鉄骨工事付則6」)に従い、柱の長さについては、10m未満であったので、柱の長さの管理許容差を±5mmとした。,4
R01,施工,14,,鉄骨工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,高力ボルト接合の摩擦面については、ショットブラストにより表面粗度を50μmRz以上確保できていたので、摩擦面に赤錆を発錆させないことを承認した。,組立溶接において、鋼材の板厚が6mmを超えていたので、ショートビードとならないように、組立溶接の最小溶接長さが30mmを基準としていることを確認した。,特記により、高力ボルト孔の孔あけ加工をレーザ孔あけとしたので、溶損部を含む孔径の精度を±0.5mmとしていることを確認した。,ねじの呼びM22のトルシア形高力ボルトにおいて、ボルトの長さについては締付け長さに35mmを加えたものを標準長さとし、標準長さに最も近い寸法のボルトが使用されていることを確認した。,2
R01,施工,15,,木工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,最下階の床が木造の床組の建築物において、床下をコンクリートで覆わなかったので、ねこ土台を用い、外周部の土台の全周にわたって、1m当たり有効面積75cm?以上の換気孔が設けられていることを確認した。,鉄筋コンクリート造の建築物において、建具枠や間仕切壁下地を留め付けるための「木れんが」については、樹種がヒノキで、「木れんが用接着剤」によりコンクリート面に張り付けられていることを確認した。,軸組工法による木造の建築物における構造用合板等の面材を併用しない耐力壁において、壁倍率2.0に適合させるために30mm×90mmの木材を片筋かいとし、その端部がプレートBP-2により緊結されていることを確認した。,鉄筋コンクリート造の建築物の内部仕上げの下地を木工事とするに当たり、床組の土台の取付けに使用するアンカーボルトは、位置や埋込み深さが不正確とならないことを重視して、「あと施工アンカー」が適切に使用されていることを確認した。,3
R01,施工,16,,防水工事等に関する次の記述のうち、最も不適当なものはどれか。,合成高分子系シート防水工事において、防水層の下地の入隅については直角とし、出隅については45度の面取りとした。,アスファルト防水工事において、アスファルトプライマーを刷毛でむらなく均一となるよう塗布し、30~60分程度の経過後、一層目のアスファルトルーフィングを張り付けた。,共同住宅において、現場打ち鉄筋コンクリートのバルコニーを塗膜防水としたので、防水層の塗膜防水材をウレタンゴム系とし、その仕上げを軽歩行用仕上塗料とした。,屋上緑化システム工事において、防水層に植物の根が直接触れないようにするために、耐根層を防水層直上部に設けた。,2
R01,施工,17,,石張り工事、タイル工事及び左官工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,石張り工事における外壁乾式工法において、止水のために石材間の目地をシーリング材で充填するに当たり、特記がなかったので、シーリング材の目地寸法が幅、深さともに5mm以上となっていることを確認した。,床を石張りとする部分の面積が広く、特記がなかったので、床面積30m?程度ごと及び石材と他の仕上材とが取り合う箇所に、伸縮調整目地が設けられていることを確認した。,セメントモルタルによる陶磁器質タイル張り工事における壁タイルの密着張りにおいて、タイル剥離防止のため、タイルの化粧目地の深さが、タイルの厚さの1/2以下となっていることを確認した。,コンクリート外壁面へのタイル張りの下地モルタル塗りにおいて、タイルの伸縮調整目地に合わせて、幅10mm以上の伸縮調整目地が発泡合成樹脂板で設けられていることを確認した。,1
R01,施工,18,,金属工事及びガラス工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,軽量鉄骨壁下地工事において、床ランナー下端から1.2mごとに設ける振れ止めを電気配管の敷設により切断せざるを得なかったので、切断する箇所を振れ止めと同材又は吊りボルト(外径9.0mm)で補強する計画であることを確認した。,軽量鉄骨天井下地工事において、天井面に下がり壁による段違いがあったので、野縁受と同材又は山形鋼(L-30×30×3(mm))を補強材に用いて、3.6m程度の間隔で斜め補強されていることを確認した。,屋外に設置する鋼製の手摺において、温度差40℃の場合の部材伸縮の目安を1m当たり0.5mmとして、伸縮調整部が5~10mごとに設けられていることを確認した。,屋外に面する建具に合わせガラスを使用するに当たり、建具のガラス溝内に雨水が浸入した場合に雨水を排水するため、建具下枠のガラス溝に設ける水抜き孔の直径が6mm以上となっていることを確認した。,2
R01,施工,19,,内外装工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,コンクリート下地への塗装工事において、素地調整を行うことができる乾燥期間を、冬期であったので、コンクリートの材齢が14日確保されていることを確認した。,下地面がコンクリートとなる「せっこうボードのせっこう系直張り用接着材による直張り工法」において、張付け時の室温が5℃以下となる寒冷期に、やむを得ず施工しなければならなかったので、採暖等の養生を行い、室温が10℃以上に保たれていることを確認した。,押出成形セメント板を用いる外壁工事において、横張り工法により取り付けたフラットパネル(働き幅600mm、厚さ60mmの標準パネル)については、構造体に固定した下地鋼材に取り付け、パネル枚数3枚以下ごとに自重受け金物で受けていることを確認した。,外壁のセメントモルタルによる陶磁器質タイル(セラミックタイル)後張りにおける引張接着強度検査については、引張接着強度が0.4N/mm?以上で、かつ、コンクリート下地の接着界面における破壊率が50%以下のものを合格とした。,1
R01,施工,20,,設備工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,昇降機設備工事において、乗用エレベーターの昇降路内に、エレベーターに必要な配管設備を設けることとなっていたので、その配管設備が地震時においてエレベーターの籠又は釣合おもりに触れるおそれのないことを確認した。,非常用の照明装置の電気配線は、他の電気回路(電源又は誘導灯に接続する部分を除く。)に接続されず、かつ、非常用の照明装置の電気配線の途中に一般の者が、容易に電源を遮断することのできる開閉器が設けられていないことを確認した。,配管の埋設工事において、給水管と排水管とを平行して埋設する部分については、給水管を排水管の上方に埋設し、両配管の水平実間隔が300mm程度確保されていることを確認した。,共同住宅の居室に設ける自然換気設備の給気口については、居室の天井の高さの1/2以下の高さの位置に設けられ、常時外気に開放されている構造となっていることを確認した。,3
R01,施工,21,,各種工事に関する記述において、監理者が一般に行うものとして、最も不適当なものは、次のうちどれか。,施工中における建具の鍵については、コンストラクションキーシステムを用いたので、施工完了後に、シリンダーは取り替えずに工事用の鍵から本設用の鍵に切り替え、不用となった工事用の鍵が回収されていることを確認した。,屋上緑化システムを採用した屋根に設けるルーフドレンについては、その口径が目詰まりを考慮して余裕のある管径になっていることを確認したうえで、1排水面積に対して2箇所以上設置されていることを確認した。,軽量鉄骨天井下地工事において、照明器具の設置に当たり、野縁及び野縁受をやむを得ず切断しなければならなかったので、溶断することを承認した。,内装工事において、タイルカーペットをフリーアクセスフロア(高さ調整式)に敷設するに当たり、フリーアクセスフロアの床パネルの段違いや隙間が0.5mm以下に調整されていることを確認した。,3
R01,施工,22,,鉄筋コンクリート造の既存建築物の耐震改修工事に関する次の記述のうち、最も不適当なものはどれか。,現場打ち鉄筋コンクリート壁の増設工事において、壁厚が厚い複配筋の既存開口壁を鉄筋コンクリートにより閉塞するに当たり、開口周囲に埋め込む「あと施工アンカー」の埋込み長さについては、特記がなかったので、10da(da:アンカー筋径)とした。,枠付き鉄骨プレースの設置工事において、鉄骨枠と既存躯体との間にグラウト材(無収縮モルタル)を圧入したところ、圧入したグラウト材と既存躯体との間に3mmの隙間ができてしまったので、その隙間にエポキシ系樹脂を圧入した。,鋼板巻き工法による柱補強工事において、二分割した鋼板を現場で一体化するに当たり、鋼板の厚さが6mmであったので、突合せ溶接とした。,溶接金網巻き工法による柱補強工事において、溶接金網の継手を重ね継手とするに当たり、溶接金網の縦筋の間隔が100mmであったので、その継手長さを200mmとした。,1
R01,施工,23,,各種改修工事に関する次の記述のうち、最も不適当なものはどれか。,既存のアスファルト防水の改修工事において、既存防水層を非撤去とすることとしたので、立上り部及びルーフドレン回りの防水層についても非撤去とした。,既存のウレタンゴム系塗膜防水を撤去せず、新規にウレタンゴム系塗膜防水を施す改修工事において、既存防水層の膨れ部分については、カッターナイフで切除し、ポリマーセメントモルタルで平坦に仕上げた。,既存のモルタル塗り仕上げ外壁の仕上塗材の改修工事において、既存塗膜の劣化部の除去を高圧水洗工法で行うに当たり、その処理範囲については、特記がなかったので、既存仕上げ面全体とした。,コンクリート打放し仕上げ外壁の改修工事において、鉄筋が露出していない比較的浅い欠損部であったので、ポリマーセメントモルタル充填工法を採用して補修した。,1
R01,施工,24,,建築工事に関する用語・試験機器とその説明との組合せとして、最も不適当なものは、次のうちどれか。,腹起し - 山留め壁に作用する側圧を切ばり又は地盤アンカーに伝えるための水平部材,スランプフロー - スランプコーンを引き上げた後の試料の広がりを直径で表したフレッシュコンクリートの流動性を示す指標,エンドタブ - 鋼材の溶接において、アークの始端部や終端部が欠陥となりやすいため、溶接ビードの始点と終点に取り付ける補助板,タッピングマシン - 子供の飛び跳ねや走り回り等の比較的重く柔らかい衝撃が加わったときの床衝撃音の遮断性能を調査するための床衝撃音発生器,4
R01,施工,25,,建築物の工事請負契約又は監理業務委託契約に関する次の記述のうち、民間(旧四会)連合協定「工事請負契約約款」又は四会連合協定「建築設計・監理等業務委託契約約款」に照らして、最も不適当なものはどれか。,工事請負契約において、工事中に本契約の目的物の一部を発注者が使用する場合につき、法令に基づいて必要となる手続きは、発注者から手続きを委託された場合は監理者が行い、受注者は、これに協力するとともに手続きに要する費用を負担する。,工事請負契約において、発注者は、監理者の意見に基づいて、受注者の現場代理人、監理技術者又は主任技術者、専門技術者及び従業員並びに下請負者及びその作業員のうちに、工事の施工又は管理について著しく適当でないと認められる者があるときは、受注者に対して、その理由を明示した書面をもって、必要な措置をとることを求めることができる。,監理業務委託契約において、受託者は、本契約に定めがある場合、又は委託者の請求があるときは、監理業務の進捗状況について、委託者に説明・報告しなければならない。,監理業務委託契約において、建築設計・監理等業務委託契約約款の規定により履行期間又は業務委託書の内容が変更された場合において、委託者は、必要があると認めるときは、受託者に対して、監理業務方針の再説明を請求することができる。,1
